m/z	intensity
113.09394	47.0
113.095436	0.0
113.096924	47.0
113.09842	23.0
113.099915	0.0
113.1014	23.0
113.1029	35.0
113.104385	23.0
113.10588	163.0
113.10737	75.0
113.108864	23.0
113.11036	59.0
113.11185	47.0
113.11334	0.0
113.12975	0.0
113.13125	23.0
113.132744	0.0
113.13423	59.0
113.13573	0.0
113.964	0.0
113.9655	23.0
113.966995	0.0
113.972984	0.0
113.97449	23.0
113.97598	23.0
113.97748	0.0
114.05538	0.0
114.056885	23.0
114.05838	0.0
114.05988	23.0
114.06138	23.0
114.062874	90.0
114.06438	46.0
114.06587	150.0
114.067375	0.0
114.06887	0.0
114.07037	23.0
114.07187	0.0
114.07487	0.0
114.07636	23.0
114.077866	0.0
114.07936	23.0
114.08086	0.0
114.08236	67.0
114.083855	58.0
114.08536	242.0
114.08685	719.0
114.088356	1853.0
114.08985	2490.0
114.09135	2611.0
114.09285	1453.0
114.094345	821.0
114.09585	363.0
114.09734	195.0
114.09885	79.0
114.10034	63.0
114.10184	0.0
114.10334	23.0
114.104836	35.0
114.10634	0.0
114.13032	0.0
114.13181	23.0
114.133316	0.0
114.5504	0.0
114.551895	23.0
114.5534	0.0
114.95019	0.0
114.95169	23.0
114.95319	23.0
114.9547	0.0
114.95921	0.0
114.96072	23.0
114.96222	0.0
115.03594	0.0
115.03745	23.0
115.038956	0.0
115.04798	0.0
115.04949	23.0
115.050995	59.0
115.0525	0.0
115.054	0.0
115.05551	35.0
115.057014	0.0
115.07056	0.0
115.07207	59.0
115.07357	0.0
115.07507	59.0
115.07658	23.0
115.07809	0.0
115.07959	47.0
115.08109	0.0
115.08561	0.0
115.08711	47.0
115.08862	47.0
115.090126	59.0
115.09163	86.0
115.09313	227.0
115.09464	134.0
115.096146	35.0
115.09765	59.0
115.09916	35.0
115.10066	35.0
115.102165	0.0
115.103676	23.0
115.10518	0.0
115.10668	0.0
115.108185	23.0
115.109695	35.0
115.1112	0.0
115.11722	0.0
115.11873	35.0
115.12023	23.0
115.121735	35.0
115.123245	78.0
115.12475	23.0
115.12625	47.0
115.12776	0.0
115.444115	0.0
115.445625	23.0
115.44713	0.0
116.010124	0.0
116.011635	23.0
116.013145	0.0
116.014656	74.0
116.01617	23.0
116.01768	23.0
116.01919	0.0
116.06907	0.0
116.07058	35.0
116.07209	0.0
116.100815	0.0
116.102325	23.0
116.103836	35.0
116.10535	47.0
116.10686	0.0
116.10837	0.0
116.109886	47.0
116.1114	0.0
116.95806	0.0
116.95958	23.0
116.9611	0.0
116.96261	0.0
116.96413	120.0
116.965645	348.0
116.96716	141.0
116.96868	107.0
116.9702	82.0
116.97172	70.0
116.973236	0.0
116.974754	35.0
116.976265	47.0
116.97778	0.0
117.015724	0.0
117.01724	35.0
117.01876	0.0
117.05064	0.0
117.052155	23.0
117.05367	0.0
117.06734	0.0
117.068855	23.0
117.07037	0.0
117.08403	0.0
117.08555	35.0
117.08707	23.0
117.088585	59.0
117.0901	47.0
117.09162	59.0
117.09314	35.0
117.09466	47.0
117.096176	0.0
117.097694	23.0
117.09921	0.0
117.10073	0.0
117.10225	23.0
117.10377	0.0
117.13718	0.0
117.138695	23.0
117.14021	0.0
117.14173	23.0
117.14325	0.0
118.01805	0.0
118.01957	23.0
118.021095	0.0
118.07293	0.0
118.07445	23.0
118.07597	0.0
118.0775	0.0
118.079025	63.0
118.08055	385.0
118.08208	393.0
118.083595	1283.0
118.08512	1825.0
118.08665	1505.0
118.08817	738.0
118.0897	440.0
118.091225	210.0
118.09274	58.0
118.09427	88.0
118.095795	46.0
118.09732	58.0
118.09885	0.0
118.12019	0.0
118.12172	23.0
118.123245	0.0
118.721756	0.0
118.72329	23.0
118.724815	0.0
118.73246	0.0
118.733986	23.0
118.73552	0.0
119.03077	0.0
119.032295	23.0
119.03383	0.0
119.03536	23.0
119.03689	0.0
119.043015	0.0
119.04454	23.0
119.046074	23.0
119.04761	23.0
119.04913	47.0
119.05067	0.0
119.0522	23.0
119.05373	23.0
119.05526	23.0
119.05679	0.0
119.05832	23.0
119.05985	0.0
119.078224	0.0
119.07976	23.0
119.08128	0.0
119.08282	115.0
119.08435	106.0
119.08588	108.0
119.08741	70.0
119.08894	165.0
119.09047	23.0
119.092	35.0
119.09354	0.0
119.09507	0.0
119.096596	35.0
119.09813	0.0
120.04627	0.0
120.04781	23.0
120.04935	0.0
120.10624	0.0
120.10777	23.0
120.109314	0.0
120.71745	0.0
120.718994	23.0
120.720535	0.0
121.02442	0.0
121.02596	47.0
121.027504	35.0
121.02905	23.0
121.030594	23.0
121.032135	0.0
121.033676	23.0
121.035225	0.0
121.036766	35.0
121.03831	0.0
121.04294	0.0
121.04449	23.0
121.04603	0.0
121.05992	0.0
121.06146	23.0
121.06301	0.0
121.06455	59.0
121.06609	0.0
121.09389	0.0
121.09543	23.0
121.09698	0.0
121.09852	47.0
121.10006	23.0
121.10161	23.0
121.10315	35.0
121.10469	0.0
121.11859	0.0
121.12013	35.0
121.12168	0.0
122.053024	0.0
122.05458	23.0
122.05613	23.0
122.05768	0.0
