m/z	intensity
104.60652	9.0
104.607956	0.0
104.814705	0.0
104.81614	9.0
104.81757	0.0
105.02165	0.0
105.02309	9.0
105.02453	0.0
105.02596	0.0
105.027405	29.0
105.02884	24.0
105.03027	38.0
105.031715	14.0
105.03315	46.0
105.03459	39.0
105.036026	14.0
105.03747	9.0
105.0389	0.0
105.040344	0.0
105.04178	14.0
105.04322	0.0
105.06479	0.0
105.06623	24.0
105.067665	24.0
105.06911	32.0
105.07054	25.0
105.07198	26.0
105.07342	0.0
105.07486	0.0
105.076294	9.0
105.077736	0.0
105.099304	0.0
105.100746	14.0
105.10219	0.0
105.614876	0.0
105.61632	9.0
105.61776	0.0
105.953995	0.0
105.95544	9.0
105.95688	9.0
105.95833	0.0
106.03055	0.0
106.032	9.0
106.03344	0.0
106.04644	0.0
106.04789	9.0
106.04933	0.0
106.06378	0.0
106.06522	9.0
106.06667	9.0
106.068115	0.0
106.72661	0.0
106.72806	9.0
106.72951	9.0
106.73096	0.0
106.94414	0.0
106.94559	14.0
106.94704	9.0
106.94849	9.0
106.94994	0.0
106.99057	0.0
106.99202	14.0
106.99348	0.0
107.041374	0.0
107.04282	19.0
107.04427	87.0
107.04572	267.0
107.04718	416.0
107.04863	619.0
107.05008	392.0
107.05154	175.0
107.052986	168.0
107.054436	81.0
107.055885	60.0
107.05734	14.0
107.05879	19.0
107.06024	0.0
107.06315	0.0
107.0646	14.0
107.06605	36.0
107.067505	110.0
107.068954	232.0
107.070404	130.0
107.07186	131.0
107.07331	54.0
107.07476	14.0
107.07621	23.0
107.07767	14.0
107.07912	19.0
107.08057	36.0
107.08202	55.0
107.08347	82.0
107.08492	66.0
107.08637	110.0
107.08783	37.0
107.08928	19.0
107.09073	0.0
107.092186	9.0
107.093636	9.0
107.095085	0.0
107.96221	0.0
107.96367	9.0
107.965126	14.0
107.96658	19.0
107.96804	14.0
107.9695	0.0
108.04095	0.0
108.042404	14.0
108.04386	14.0
108.04532	0.0
108.046776	9.0
108.04824	14.0
108.0497	9.0
